,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited_C
0,619,France,Female,42,2,0.0,1,1,1,101348.88,Yes
1,608,Spain,Female,41,1,83807.86,1,0,1,112542.58,No
2,502,France,Female,42,8,159660.8,3,1,0,113931.57,Yes
3,699,France,Female,39,1,0.0,2,0,0,93826.63,No
4,850,Spain,Female,43,2,125510.82,1,1,1,79084.1,No
5,645,Spain,Male,44,8,113755.78,2,1,0,149756.71,Yes
6,822,France,Male,50,7,0.0,2,1,1,10062.8,No
7,376,Germany,Female,29,4,115046.74,4,1,0,119346.88,Yes
8,501,France,Male,44,4,142051.07,2,0,1,74940.5,No
9,684,France,Male,27,2,134603.88,1,1,1,71725.73,No
10,528,France,Male,31,6,102016.72,2,0,0,80181.12,No
11,497,Spain,Male,24,3,0.0,2,1,0,76390.01,No
12,476,France,Female,34,10,0.0,2,1,0,26260.98,No
13,549,France,Female,25,5,0.0,2,0,0,190857.79,No
14,635,Spain,Female,35,7,0.0,2,1,1,65951.65,No
15,616,Germany,Male,45,3,143129.41,2,0,1,64327.26,No
16,653,Germany,Male,58,1,132602.88,1,1,0,5097.67,Yes
17,549,Spain,Female,24,9,0.0,2,1,1,14406.41,No
18,587,Spain,Male,45,6,0.0,1,0,0,158684.81,No
19,726,France,Female,24,6,0.0,2,1,1,54724.03,No
20,732,France,Male,41,8,0.0,2,1,1,170886.17,No
21,636,Spain,Female,32,8,0.0,2,1,0,138555.46,No
22,510,Spain,Female,38,4,0.0,1,1,0,118913.53,Yes
23,669,France,Male,46,3,0.0,2,0,1,8487.75,No
24,846,France,Female,38,5,0.0,1,1,1,187616.16,No
25,577,France,Male,25,3,0.0,2,0,1,124508.29,No
26,756,Germany,Male,36,2,136815.64,1,1,1,170041.95,No
27,571,France,Male,44,9,0.0,2,0,0,38433.35,No
28,574,Germany,Female,43,3,141349.43,1,1,1,100187.43,No
29,411,France,Male,29,0,59697.17,2,1,1,53483.21,No
30,591,Spain,Female,39,3,0.0,3,1,0,140469.38,Yes
31,533,France,Male,36,7,85311.7,1,0,1,156731.91,No
32,553,Germany,Male,41,9,110112.54,2,0,0,81898.81,No
33,520,Spain,Female,42,6,0.0,2,1,1,34410.55,No
34,722,Spain,Female,29,9,0.0,2,1,1,142033.07,No
35,475,France,Female,45,0,134264.04,1,1,0,27822.99,Yes
36,490,Spain,Male,31,3,145260.23,1,0,1,114066.77,No
37,804,Spain,Male,33,7,76548.6,1,0,1,98453.45,No
38,850,France,Male,36,7,0.0,1,1,1,40812.9,No
39,582,Germany,Male,41,6,70349.48,2,0,1,178074.04,No
40,472,Spain,Male,40,4,0.0,1,1,0,70154.22,No
41,465,France,Female,51,8,122522.32,1,0,0,181297.65,Yes
42,556,France,Female,61,2,117419.35,1,1,1,94153.83,No
43,834,France,Female,49,2,131394.56,1,0,0,194365.76,Yes
44,660,Spain,Female,61,5,155931.11,1,1,1,158338.39,No
45,776,Germany,Female,32,4,109421.13,2,1,1,126517.46,No
46,829,Germany,Female,27,9,112045.67,1,1,1,119708.21,Yes
47,637,Germany,Female,39,9,137843.8,1,1,1,117622.8,Yes
48,550,Germany,Male,38,2,103391.38,1,0,1,90878.13,No
49,776,Germany,Female,37,2,103769.22,2,1,0,194099.12,No
50,698,Germany,Male,44,10,116363.37,2,1,0,198059.16,No
